iter	Passed	Remaining
403	63052	93018
404	63183	92824
405	63311	92628
406	63441	92434
407	63561	92226
408	63686	92025
409	63810	91824
410	63931	91619
411	64066	91435
412	64193	91238
413	64319	91041
414	64449	90850
415	64568	90643
416	64713	90475
417	64832	90268
418	64962	90078
419	65091	89887
420	65226	89706
421	65351	89509
422	65486	89328
423	65611	89132
424	65734	88935
425	65865	88747
426	65984	88545
427	66178	88443
428	66307	88255
429	66499	88150
430	66629	87963
431	66761	87779
432	66889	87590
433	67009	87390
434	67141	87206
435	67260	87006
436	67386	86815
437	67520	86635
438	67649	86449
439	67772	86255
440	67908	86078
441	68036	85892
442	68175	85719
443	68297	85526
444	68434	85351
445	68564	85168
446	68700	84992
447	68827	84804
448	68987	84659
449	69103	84459
450	69239	84284
451	69359	84090
452	69487	83906
453	69615	83722
454	69739	83534
455	69863	83346
456	69991	83163
457	70113	82972
458	70247	82797
459	70384	82624
460	71094	83123
461	71278	83003
462	71421	82836
4463	71559	82663464	71680	82471
465	71825	82306
4466	72017	82195467	72155	82023
468	72294	81851
469	72447	81696
470	72600	81540
471	72749	81381
472	72912	81236
473	73034	81046
474	73185	80888
475	73402	80804
476	73648	80750
477	73840	80637
478	74025	80515
479	74257	80445
480	74479	80363
481	74704	80284
482	74926	80201
483	75169	80139
484	75383	80046
485	75609	79965
486	75811	79859
487	76026	79765
488	76226	79655
489	76508	79631
490	76745	79558
491	76997	79501
492	77204	79396
493	77416	79297
494	77627	79195
495	77857	79113
496	78075	79017
497	78293	78922
498	78558	78873
499	78776	78776
500	78965	78650
501	79207	78576
502	79426	78478
503	79628	78364
504	79855	78273
505	80068	78169
506	80267	78050
507	80498	77962
508	80707	77853
509	80927	77753
510	81148	77655
511	81360	77546
512	81584	77449
513	81811	77355
514	82017	77240
515	82252	77151
516	82477	77053
517	82701	76953
518	82928	76856
519	83114	76721
520	83337	76619
521	83566	76523
522	83787	76418
523	84019	76323
524	84244	76221
525	84448	76100
526	84666	75990
527	84885	75882
528	85111	75779
529	85308	75651
530	86442	76349
531	86794	76353
532	87139	76349
533	87422	76290
534	87654	76185
535	87868	76065
536	88122	75979
537	88351	75870
538	88593	75772
539	88821	75662
540	89027	75533
541	89251	75418
542	89496	75322
543	89700	75189
544	89889	75045
545	90083	74904
546	90293	74776
547	90488	74636
548	90697	74507
549	90888	74363
550	91082	74221
551	91297	74096
552	91532	73987
553	91749	73863
554	91950	73725
555	92156	73592
556	92354	73452
557	92574	73329
558	92803	73213
559	93010	73079
560	93223	72950
561	93450	72831
562	93666	72704
563	93861	72559
564	94104	72452
565	94327	72329
566	94534	72192
567	94789	72093
568	95009	71966
569	95192	71811
570	95386	71665
571	95559	71502
572	95749	71352
573	95933	71198
574	96100	71031
575	96290	70880
576	96495	70740
577	96723	70618
578	96940	70486
579	97144	70345
580	97349	70205
581	97612	70106
582	97846	69985
583	98109	69886
584	98312	69742
585	98530	69609
586	98767	69490
587	98950	69332
588	99180	69207
589	99372	69055
590	99600	68928
591	99851	68816
592	100068	68680
593	100291	68549
594	101425	69037
595	101749	68971
596	101957	68825
597	102185	68693
598	102398	68550
599	102625	68416
600	102833	68270
601	103138	68187
602	103375	68059
603	103590	67917
604	103798	67769
605	104038	67642
606	104230	67483
607	104429	67329
