iter	MAE
0	775.8601097
1	751.3255606
2	743.8254499
3	728.7674629
4	714.1469405
5	700.0179547
6	686.2473296
7	673.2505978
8	660.9101726
9	649.192493
10	638.0328082
11	627.3202723
12	617.5431375
13	608.4578441
14	598.5595142
15	589.9791271
16	580.566582
17	572.3570469
18	564.030096
19	556.4817342
20	549.0509298
21	541.2014427
22	533.2312251
23	525.3802206
24	518.2363591
25	510.5975664
26	504.6352748
27	497.9132697
28	491.5375863
29	485.9854063330	480.1650829331	477.0703602332	471.8549944333	467.0720753434	461.7302843535	456.9382113636	452.6767893737	448.3142123838	444.4906053939	440.9003344040	437.2213054141	433.9616424242	430.2483454343	427.3745224444	423.8899864545	420.6449744646	418.6919994747	415.7848674848	413.1465334949	410.0275050	50	407.9771651	402.9329371
52	401.1059651
53	398.9870048
54	396.7854218
55	394.6553881
56	391.7218733
57	389.779615
58	387.7512442
59	385.5633609
60	383.4722049
61	381.4510317
62	379.3511356
63	377.4571632
64	376.3038448
65	375.4052347
66	374.0540892
67	372.1071553
68	371.2175115
69	369.6524454
70	367.8005015
71	366.1028243
72	364.4775363
73	362.9428269
74	361.8877293
75	361.0997246
76	359.4377404
77	358.2548614
78	356.9086272
79	355.5742848
80	354.5212796
81	353.7484155
82	352.3890971
83	351.1177858
84	350.2123502
85	349.1956267
86	348.262219
87	347.4796973
88	346.272186
89	345.3041599
90	344.7111798
91	343.7906191
92	342.8792448
93	342.1198178
94	341.3184502
95	340.871507
96	340.1681794
97	339.5196855
98	339.0120191
99	338.4073413
100	337.5151849
101	337.1732732
102	336.4374433
103	335.7254473
104	334.7647178
105	334.14561541106	333.19261661107	332.31063281108	331.71568231109	331.32654081110	330.86544011111	330.42428411112	329.96896311113	329.46352111114	329.07773115115	328.60810116116	328.05331117117	327.5243118	327.9983525
119	119	326.4945120	120	326.0191121	121	325.6180122	122	324.9880123	123	324.663124	3124	324.352125	3125	323.94126	32126	323.48127	3127	323.005128	3128	322.626129	3129	322.290130	3130	321.519131	3131	321.02132	32132	320.75133	32133	320.30134	32134	320.07135	32135	319.60136	32136	319.03137	32137	318.41138	319.865351
139	319.4142698
140	318.9480233
141	318.6337781
142	318.2886836
143	317.9237654
144	31144	315.90145	31145	315.57070146146	314.97608147147	314.41036148148	314.1107914149	313.4513781150	313.04622631151	312.5447597
152	312.1456868
153	311.9137638
154	311.5163873
155	311.2046894
156	310.8378653
